timestamp,rv_ratio,iv_ratio,full_score,rv_only_score,delta_volatility_score,full_width,rv_only_width,delta_grid_width,full_mode,rv_only_mode,full_volatility_state,rv_only_volatility_state,delta_capital,full_capital,rv_only_capital,delta_level_count,full_level_count,rv_only_level_count
2026-08-24T05:10:32.978Z,2.2530914830200994,1.0005624296962878,1.9399592196891464,2.2530914830200994,-0.313132263330953,0.029099388295337196,0.03,-0.0009006117046628029,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:10:37.981Z,1.202683525217045,1.0005624296962878,1.1521532513368555,1.202683525217045,-0.05053027388018938,0.011521532513368555,0.01202683525217045,-0.0005053027388018955,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:10:42.983Z,1.1988811833229878,1.0005624296962878,1.1493014949163127,1.1988811833229878,-0.04957968840667504,0.011493014949163128,0.011988811833229878,-0.0004957968840667501,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:10:47.985Z,1.2016084667397264,0.999783680886043,1.1511522702763055,1.2016084667397264,-0.05045619646342092,0.011511522702763056,0.012016084667397264,-0.0005045619646342082,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:10:52.986Z,1.120418768753185,0.999783680886043,1.0902599967863995,1.120418768753185,-0.030158771966785514,0.010902599967863994,0.01120418768753185,-0.00030158771966785555,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:10:57.988Z,1.1245041568425032,0.999783680886043,1.093324037853388,1.1245041568425032,-0.031180118989115213,0.01093324037853388,0.011245041568425032,-0.00031180118989115185,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:11:02.993Z,1.125637340902234,0.999783680886043,1.0941739258981862,1.125637340902234,-0.03146341500404781,0.010941739258981863,0.01125637340902234,-0.0003146341500404777,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:11:07.990Z,1.139996980673521,1.0061218309249804,1.106528193236386,1.139996980673521,-0.033468787437135106,0.01106528193236386,0.01139996980673521,-0.0003346878743713498,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:11:12.992Z,1.077350685492659,1.0061218309249804,1.0595434718507395,1.077350685492659,-0.017807213641919617,0.010595434718507395,0.01077350685492659,-0.000178072136419195,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:11:17.993Z,0.9594537927509718,1.0061218309249804,0.971120802294474,0.9594537927509718,0.011667009543502194,0.00971120802294474,0.009594537927509719,0.000116670095435022,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:11:22.996Z,0.9591386798424778,1.0061218309249804,0.9708844676131034,0.9591386798424778,0.011745787770625626,0.009708844676131034,0.009591386798424778,0.00011745787770625626,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:11:27.998Z,0.7064394897766222,1.0028986761270224,0.7805542863642222,0.7064394897766221,0.07411479658760012,0.007805542863642222,0.0075,0.00030554286364222263,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:11:33.000Z,0.34605378164780076,1.0028986761270224,0.5102650052676062,0.3460537816478008,0.1642112236198054,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:11:38.002Z,0.3666663441107203,1.0028986761270224,0.5257244271147958,0.3666663441107203,0.15905808300407553,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:11:43.004Z,0.6211101981183111,1.0028986761270224,0.7165573176204889,0.6211101981183111,0.09544711950217777,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:11:48.005Z,0.5868869706342187,1.0028770442156267,0.6908844890295707,0.5868869706342187,0.10399751839535198,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
